"BNU1" "BNU2" "DC1" "HNU1" "IACAS" "IBATRT" "IPCAS" "JHNU" "NYU1" "SWU1" "UM" "UWM" "XHCUMS" "Mean"
"AFXXX" 0.930612244897959 0.854285714285714 0.885344260865202 0.968144316730524 0.837410490511994 0.925595238095238 0.950174825174825 0.879885057471264 0.885648148148148 0.913355587243972 0.971716772151899 0.9225 0.852572463768116 0.917044843858997
"CFXXX" 0.967857142857143 0.915510204081633 0.955904530813785 0.983234993614304 0.84202470461869 0.960565476190476 0.991008991008991 0.95948275862069 0.981481481481482 0.96953320802005 0.993393987341772 0.958333333333333 0.907971014492754 0.960873655725089
"DFXXX" 0.916020408163265 0.840510204081633 0.913406439810013 0.967674329501916 0.78108664518439 0.939732142857143 0.959040959040959 0.844827586206897 0.94712962962963 0.927032019704433 0.984612341772152 0.902916666666667 0.841358695652174 0.920750095246996
"HFXXX" 0.947857142857143 0.854591836734694 0.915837382008522 0.980804597701149 0.827694235588972 0.959077380952381 0.963078588078588 0.91235632183908 0.925555555555556 0.935682417250022 0.98057753164557 0.92125 0.861829710144927 0.933247969001981
"AFXSG" 0.953163265306122 0.883571428571429 0.932294732176897 0.983765006385696 0.899046723952739 0.936755952380952 0.970779220779221 0.891666666666667 0.961296296296296 0.957215236366779 0.976068037974684 0.9475 0.881503623188406 0.945188755037134
"CFXSG" 0.969081632653061 0.925 0.966202909000038 0.991739463601533 0.891532402434658 0.972470238095238 0.973692973692974 0.966666666666667 0.980462962962963 0.979833743842365 0.982990506329114 0.970416666666667 0.91661231884058 0.966030192490692
"DFXSG" 0.945204081632653 0.83969387755102 0.888520525766839 0.977577266922094 0.843738811313999 0.909970238095238 0.941516816516817 0.855172413793103 0.942685185185185 0.91887315270936 0.971993670886076 0.930833333333333 0.830724637681159 0.918876355102242
"HFXSG" 0.959591836734694 0.856836734693878 0.946543195418308 0.988891443167305 0.869007339778016 0.962053571428571 0.967740592740593 0.922413793103448 0.969259259259259 0.944119458128079 0.968393987341772 0.945416666666667 0.884764492753623 0.946976508075912
"AFXSX" 0.930918367346939 0.855102040816327 0.887108893914843 0.969109833971903 0.823921410669531 0.921875 0.952755577755578 0.881896551724138 0.884166666666667 0.915661999827154 0.932318037974684 0.92125 0.860742753623188 0.913815335540796
"CFXSX" 0.967959183673469 0.91734693877551 0.955542905748373 0.98378288633461 0.841836734693878 0.964285714285714 0.992382617382617 0.960919540229885 0.981574074074074 0.969992329962838 0.969818037974684 0.960416666666667 0.917355072463768 0.959738625342633
"DFXSX" 0.919489795918367 0.842959183673469 0.915034422321188 0.968570881226054 0.769405656999642 0.93452380952381 0.96020646020646 0.845402298850575 0.951203703703704 0.926878078817734 0.955142405063291 0.90875 0.845615942028985 0.918751417240435
"HFXSX" 0.948265306122449 0.855816326530612 0.916206526953628 0.98105619412516 0.810096670247046 0.955357142857143 0.965617715617716 0.909195402298851 0.926296296296296 0.936913944343618 0.955893987341772 0.925833333333333 0.869275362318841 0.931052912279394
